ok,status,reason,mode,N,seed,msg_id,warmup_wait_s,delivered_nodes,threshold_95,reached_95,t0_ms,t95_ms,convergence_ms,overhead
True,ok,,push,5,42,376d646c-d30a-4be7-b9ff-1bd12b52adbb,2.0,5,5,True,1771997414777,1771997414782,5,5
True,ok,,push,5,43,1f124def-67e6-4557-9c76-04ae502ef11f,2.0,5,5,True,1771997418955,1771997418961,6,8
True,ok,,push,5,44,0a160651-b28a-4396-a531-a44af2d8242e,2.0,5,5,True,1771997423074,1771997423081,7,10
True,ok,,push,5,45,f6c9dc4b-9a00-4f18-9835-dc1dba47500f,2.0,5,5,True,1771997427169,1771997427174,5,9
True,ok,,push,5,46,8b72ec48-8908-4ad6-bd8e-74e2030e1ec8,2.0,5,5,True,1771997431247,1771997431253,6,7
True,ok,,push,10,42,58e22813-7246-4025-8a03-dba797a1779b,2.0,10,10,True,1771997435595,1771997435605,10,29
True,ok,,push,10,43,dcd36d79-9d32-4a94-abf1-03fc8ea8f071,2.0,10,10,True,1771997440085,1771997440094,9,32
True,ok,,push,10,44,daa63fa9-6f91-4996-ac09-e128b245f94d,2.0,10,10,True,1771997444627,1771997444641,14,36
True,ok,,push,10,45,60601c3b-d38a-46f3-90b7-fd325d1cbad7,2.0,10,10,True,1771997449174,1771997449185,11,24
True,ok,,push,10,46,8de5738a-e9c5-4c7c-b887-3dffa356460b,2.0,10,10,True,1771997453715,1771997453725,10,26
True,ok,,push,20,42,b0286744-1c47-4fd4-b645-03c15afa5fb4,2.0,20,19,True,1771997459538,1771997459556,18,65
True,ok,,push,20,43,0d299c7c-f1ec-49e7-a76d-ad7caa1f47a9,2.0,20,19,True,1771997465813,1771997465846,33,48
True,ok,,push,20,44,7c2a9a3a-67da-41c9-abbf-a2cb6ab7ff96,2.0,20,19,True,1771997471913,1771997471939,26,71
True,ok,,push,20,45,bfb25142-e4b1-4c23-a893-30fdb44d5857,2.0,20,19,True,1771997478270,1771997478293,23,83
True,ok,,push,20,46,3076b381-27a8-4de8-82c3-d6061ae899e1,2.0,20,19,True,1771997484473,1771997484489,16,48
True,ok,,push,50,42,d2b8c3e7-bc16-44bc-88cb-aedc1251de37,2.0,50,48,True,1771997493610,1771997493657,47,190
True,ok,,push,50,43,7e6665f4-94ee-4cb1-a3d8-d4d4d98ff543,2.0,50,48,True,1771997504633,1771997504665,32,175
True,ok,,push,50,44,716e5b31-c190-4111-8364-ccc7b5c53715,2.0,50,48,True,1771997515761,1771997515797,36,199
True,ok,,push,50,45,42654777-1a23-4ab9-be71-5e1772f0c9d4,2.0,50,48,True,1771997526997,1771997527029,32,178
True,ok,,push,50,46,f4c579c5-6c7f-4220-bfab-eb4cc953e5cf,2.0,50,48,True,1771997537924,1771997537978,54,189
